,,cost,load,fuel cost,cost_norm,load_norm,del_load_norm,fuel_norm,weather,,,,
143,May-88,16.82,57617.13,8.66,0.61,0.13,-0.03,0.25,1,,,,
144,Jun-88,17.32,68831.72,8.71,0.67,0.22,0.09,0.25,1,,,,
145,Jul-88,17.38,87079.54,8.63,0.68,0.36,0.14,0.24,1,,,,
146,Aug-88,17.37,94285.1,8.63,0.68,0.42,0.06,0.24,0,,,,
147,Sep-88,17.1,77594.95,8.48,0.65,0.29,-0.13,0.24,0,,,,
148,Oct-88,16.74,63813.79,8.05,0.61,0.18,-0.11,0.21,0,,,,
149,Nov-88,16.17,63681.6,7.9,0.54,0.17,-0.01,0.2,1,,,,
150,Dec-88,15.72,77175.16,7.96,0.49,0.28,0.11,0.21,1,,,,
151,Jan-89,15.42,85220.81,8.18,0.46,0.35,0.07,0.22,1,,,,
152,Feb-89,15.39,78291.68,8.21,0.45,0.29,-0.06,0.22,1,,,,
153,Mar-89,15.45,77347.33,8.34,0.46,0.28,-0.01,0.23,0,,,,
154,Apr-89,15.93,64808.54,8.8,0.51,0.18,-0.1,0.25,0,,,,
155,May-89,16.27,61212.29,8.89,0.55,0.16,-0.02,0.26,1,,,,
156,Jun-89,16.85,71797.89,8.88,0.62,0.24,0.08,0.26,1,,,,
157,Jul-89,16.96,85741.93,8.85,0.63,0.35,0.11,0.26,1,,,,
158,Aug-89,16.98,86290.42,8.75,0.63,0.36,0.01,0.25,0,,,,
159,Sep-89,16.75,78859.57,8.71,0.61,0.3,-0.06,0.25,0,,,,
160,Oct-89,16.36,65247.76,8.62,0.56,0.19,-0.11,0.24,0,,,,
161,Nov-89,15.57,64955.32,8.47,0.47,0.18,-0.01,0.24,1,,,,
162,Dec-89,15.01,85751.1,8.73,0.41,0.35,0.17,0.25,1,,,,
163,Jan-90,14.68,95453.21,9.58,0.37,0.43,0.08,0.29,1,,,,
164,Feb-90,15.25,74548.2,8.78,0.44,0.26,-0.17,0.25,1,,,,
165,Mar-90,15.37,71945.24,8.51,0.45,0.24,-0.02,0.24,0,,,,
166,Apr-90,15.57,65227.84,8.4,0.47,0.19,-0.05,0.23,0,,,,
167,May-90,16.11,62904.32,8.42,0.53,0.17,-0.02,0.23,1,,,,
168,Jun-90,16.3,73864.28,8.38,0.55,0.26,0.09,0.23,1,,,,
169,Jul-90,16.38,90839.78,8.49,0.56,0.39,0.13,0.24,1,,,,
170,Aug-90,16.36,88500.32,9.67,0.56,0.37,-0.02,0.3,0,,,,
171,Sep-90,16.09,86164.08,10.6,0.53,0.35,-0.02,0.35,0,,,,
172,Oct-90,15.75,69602.16,11.16,0.49,0.22,-0.13,0.38,0,,,,
173,Nov-90,15.25,66464.97,10.78,0.44,0.2,-0.02,0.36,1,,,,
174,Dec-90,14.8,78504.3,10.3,0.39,0.29,0.09,0.33,1,,,,
175,Jan-91,14.36,93909.29,9.63,0.34,0.42,0.13,0.3,1,,,,
176,Feb-91,14.72,79477.86,8.95,0.38,0.3,-0.12,0.26,1,,,,
177,Mar-91,15.07,73893.84,8.48,0.42,0.26,-0.04,0.24,0,,,,
178,Apr-91,15.42,65914.97,8.48,0.46,0.19,-0.07,0.24,0,,,,
179,May-91,15.67,67282.63,8.54,0.48,0.2,0.01,0.24,1,,,,
180,Jun-91,15.99,80914.28,8.71,0.52,0.31,0.11,0.25,1,,,,
181,Jul-91,16.08,94501.8,8.57,0.53,0.42,0.11,0.24,1,,,,
182,Aug-91,16.09,92895.01,8.72,0.53,0.41,-0.01,0.25,0,,,,
183,Sep-91,15.96,84485.35,8.66,0.52,0.34,-0.07,0.25,0,,,,
184,Oct-91,15.83,69249.49,8.55,0.5,0.22,-0.12,0.24,0,,,,
185,Nov-91,15.06,70937.29,8.49,0.42,0.23,0.01,0.24,1,,,,
186,Dec-91,14.73,81955.56,8.23,0.38,0.32,0.09,0.22,1,,,,
187,Jan-92,14.53,91495.33,7.92,0.36,0.4,0.08,0.21,1,,,,
188,Feb-92,14.65,82188.78,7.83,0.37,0.32,-0.08,0.2,1,,,,
189,Mar-92,15.03,73783.95,7.79,0.41,0.26,-0.06,0.2,0,,,,
190,Apr-92,15.05,68460.97,7.94,0.41,0.21,-0.05,0.21,0,,,,
191,May-92,15.69,64793.26,8.28,0.49,0.18,-0.03,0.23,1,,,,
192,Jun-92,16.08,70888.95,8.58,0.53,0.23,0.05,0.24,1,,,,
193,Jul-92,15.9,88689.55,8.64,0.51,0.37,0.14,0.24,1,,,,
194,Aug-92,15.92,88430.25,8.59,0.51,0.37,0,0.24,0,,,,
195,Sep-92,15.93,79560.94,8.52,0.51,0.3,-0.07,0.24,0,,,,
196,Oct-92,15.58,69979.89,8.4,0.47,0.23,-0.07,0.23,0,,,,
197,Nov-92,14.97,70111.59,8.2,0.4,0.23,0,0.22,1,,,,
198,Dec-92,14.42,87555.33,7.93,0.34,0.37,0.14,0.21,1,,,,
199,Jan-93,14.15,93777.5,7.83,0.31,0.42,0.05,0.2,1,,,,
200,Feb-93,14.23,83409.79,7.82,0.32,0.33,-0.09,0.2,1,,,,
201,Mar-93,14.21,83056.62,7.86,0.32,0.33,0,0.2,0,,,,
202,Apr-93,14.76,69696.72,7.98,0.38,0.22,-0.11,0.21,0,,,,
